area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,19 - Central Mixed Grass Prairie,dist_100,2020,13624308724.689404,5,504604026.8403511,-101.67061168350689,41.25580198988008,-102.73223350181043,38.18847961746914,-98.46912603082833,42.14631040199197,52,5,8,2,18384,18474,7,10,8
10000,19 - Central Mixed Grass Prairie,dist_100,2021,4289134228.142975,4,403683221.4722862,-102.09904954910657,42.106349410370214,-102.51174927607607,41.650635717351676,-101.07775930237518,42.885984529570045,30,7.5,5,1,18748,18825,6,10,7.5
10000,19 - Central Mixed Grass Prairie,dist_100,2022,298523742278.74963,12,1211049664.4168434,-100.94567529298808,40.409507846402796,-102.73223350181043,31.3687501758743,-97.8295855446756,42.723735483772415,403,14.5,21,1,19113,19204,5,13,9
10000,9 - Great Basin,dist_100,2010,720625010730.6991,53,5348802684.507696,-116.41477072003585,42.649367245188174,-121.43746131825168,37.818251345407646,-111.6249645149752,50.34900695890691,508,4,115,1,14730,14821,5,13,13
10000,9 - Great Basin,dist_100,2011,657246744959.5508,70,7064456375.764885,-116.84973367313012,42.74861128354137,-120.79822136171505,37.59936382359425,-111.71453041653186,50.80041629204952,523,3.5,112,1,15095,15185,5,13,13
10000,9 - Great Basin,dist_100,2012,963289087238.2212,77,7770902013.34137,-116.49513871295015,42.74811999901978,-122.02047930062707,36.48385262214004,-111.13293815673762,50.86699110653004,976,6,149,1,15461,15552,5,13,13
10000,9 - Great Basin,dist_100,2013,811756497978.0656,114,11504971811.9599,-116.64979763888584,42.96190562076454,-121.83510303122361,37.59936382359425,-111.60155025523167,51.33454723417445,2336,9,275,1,15826,15917,5,13,12
10000,9 - Great Basin,dist_100,2014,899153915426.8135,119,12009575838.800243,-116.97126295609596,43.26893417114089,-122.02047930062707,37.59936382359425,-111.56378913709959,51.605046318213276,2122,8,281,1,16191,16282,5,13,12
10000,9 - Great Basin,dist_100,2015,979688718110.5326,157,15844566442.786886,-117.0008818648021,43.127784287796764,-122.02047930062707,37.192770332247285,-111.01269769513763,51.69519433325482,3239,12,369,1,16556,16647,5,13,12
10000,9 - Great Basin,dist_100,2016,926604374486.9279,159,16046408053.523027,-116.77537808086679,43.223434916063304,-122.02047930062707,37.58954395558984,-111.63305723342594,51.69519433325482,3432,9,319,1,16922,17013,5,13,12
10000,9 - Great Basin,dist_100,2017,956325551667.8251,185,18670348993.09285,-116.9839456711578,43.285072207307,-122.02047930062707,37.59936382359425,-111.01269769513763,51.69519433325482,4717,12,535,1,17287,17378,5,13,12
10000,9 - Great Basin,dist_100,2018,983120025493.0472,195,19679557046.77355,-116.80303902911464,43.21432719815878,-121.95384685090536,37.38409730426043,-111.01269769513763,51.68774095190863,5248,12,537,1,17652,17743,5,13,11
10000,9 - Great Basin,dist_100,2019,932911924822.4326,203,20486923489.71808,-116.99903333599667,43.11225579967317,-122.02047930062707,37.58954395558984,-110.98664388720685,50.86699110653004,6238,12,581,1,18017,18108,5,13,11
10000,9 - Great Basin,dist_100,2020,964853359721.426,194,19578636241.40543,-116.84142780178583,43.1153075046487,-122.03092517650013,36.48385262214004,-111.01269769513763,50.95220626385135,8455,14.5,614,1,18383,18474,5,13,11.5
10000,9 - Great Basin,dist_100,2021,979638257707.8484,204,20587844295.086143,-116.77626300273631,42.8220682659057,-122.14577362327074,36.48385262214004,-111.01269769513763,51.605046318213276,10351,19,788,1,18748,18839,5,13,12
10000,9 - Great Basin,dist_100,2022,979133653681.0087,202,20386002684.349983,-116.40759806302768,42.98664971102205,-122.31848554044493,36.48385262214004,-111.01269769513763,51.42472294633966,9745,19.5,652,1,19113,19204,5,13,12
